method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
norm,84,0.90594,2.156479784546605,2.185020576461163,0.890025,,5e-05
cqr,84,0.908615,2.0761517872293305,0.08331786959228671,0.8883083768717346,0.0,
abs,85,0.89989,2.300301318368758,1.1501506591843784,,,
norm,85,0.913625,2.2145634616097585,2.243872985117616,0.8981,,5e-05
cqr,85,0.913915,2.1073196435972075,0.09890179777622496,0.8915581331400145,0.0,
abs,86,0.897265,2.2760685621583647,1.1380342810791826,,,
norm,86,0.902015,2.1305136090064254,2.158710741213056,0.886225,,5e-05
cqr,86,0.905595,2.058761613726331,0.07462278284078705,0.8864335174861885,0.0,
abs,87,0.91101,2.4115000524856374,1.2057500262428194,,,
norm,87,0.893565,2.072474221239895,2.099903208017589,0.877475,,5e-05
cqr,87,0.90131,2.0349973976705336,0.06274067481288864,0.8840836937229708,0.0,
abs,88,0.911595,2.4171838118936937,1.2085919059468475,,,
norm,88,0.90238,2.1328260793767906,2.1610538168949676,0.886475,,5e-05
cqr,88,0.90376,2.0490992128210057,0.06979158238812433,0.8854835887308452,0.0,
abs,89,0.896635,2.270358481102996,1.1351792405514987,,,
norm,89,0.91016,2.1878243009568195,2.2167799343769357,0.894425,,5e-05
cqr,89,0.893125,1.9946572317687838,0.042570591862013396,0.8792840536959728,0.0,
abs,90,0.91045,2.4046660652942227,1.202333032647112,,,
norm,90,0.91215,2.2026579766674996,2.2318099322858664,0.896225,,5e-05
cqr,90,0.910265,2.085819608786913,0.08815178037107803,0.8895332850036247,0.0,
abs,91,0.873335,2.0759145152416854,1.0379572576208433,,,
norm,91,0.89539,2.0847564286642846,2.1123479692154303,0.87945,,5e-05
cqr,91,0.891105,1.9854790319915328,0.03798149197338763,0.8782591305652077,0.0,
abs,92,0.902865,2.3274974325810174,1.1637487162905082,,,
norm,92,0.89094,2.0565051765384728,2.083722814624116,0.87485,,5e-05
cqr,92,0.900725,2.0318676845308974,0.06117581824307039,0.8839087068469865,0.0,
abs,93,0.88522,2.1703784953849237,1.085189247692462,,,
norm,93,0.89651,2.0929596435611457,2.1206597528320543,0.880525,,5e-05
cqr,93,0.894785,2.002774763238322,0.04662935759678244,0.8803589730770193,0.0,
abs,94,0.88045,2.132084536201432,1.0660422681007158,,,
norm,94,0.904715,2.1481343203265806,2.176564660865967,0.88905,,5e-05
cqr,94,0.906455,2.0633600417588176,0.07692199685703016,0.8869334799890009,0.0,
abs,95,0.915185,2.4539634128636036,1.2269817064318023,,,
